n,cogram_point
826,1216.1469412032
827,1217.34008937462
828,1218.53301553721
829,1219.72572003202
830,1220.91820319914
831,1222.11046537774
832,1223.30250690603
833,1224.49432812133
834,1225.68592935998
835,1226.87731095744
836,1228.06847324823
837,1229.25941656594
838,1230.45014124326
839,1231.64064761199
840,1232.83093600299
841,1234.02100674624
842,1235.21086017081
843,1236.40049660487
844,1237.58991637571
845,1238.77911980972
846,1239.96810723243
847,1241.15687896845
848,1242.34543534154
849,1243.53377667457
850,1244.72190328956
851,1245.90981550763
852,1247.09751364907
853,1248.28499803327
854,1249.4722689788
855,1250.65932680335
856,1251.84617182378
857,1253.03280435607
858,1254.21922471539
859,1255.40543321605
860,1256.59143017152
861,1257.77721589444
862,1258.96279069662
863,1260.14815488904
864,1261.33330878185
865,1262.51825268438
866,1263.70298690515
867,1264.88751175185
868,1266.07182753136
869,1267.25593454976
870,1268.43983311231
871,1269.62352352348
872,1270.80700608692
873,1271.9902811055
874,1273.1733488813
875,1274.35620971558
876,1275.53886390884
877,1276.72131176077
878,1277.90355357031
879,1279.08558963559
880,1280.26742025398
881,1281.44904572206
882,1282.63046633565
883,1283.81168238981
884,1284.99269417882
885,1286.1735019962
886,1287.35410613472
887,1288.53450688638
888,1289.71470454244
889,1290.8946993934
890,1292.07449172901
891,1293.25408183827
892,1294.43347000946
893,1295.6126565301
894,1296.79164168697
895,1297.97042576614
896,1299.14900905291
897,1300.32739183189
898,1301.50557438693
899,1302.68355700118
900,1303.86133995706
901,1305.03892353627
902,1306.2163080198
903,1307.39349368791
904,1308.57048082018
905,1309.74726969545
906,1310.92386059188
907,1312.1002537869
908,1313.27644955727
909,1314.45244817903
910,1315.62824992753
911,1316.80385507744
912,1317.97926390272
913,1319.15447667664
914,1320.32949367182
915,1321.50431516016
916,1322.6789414129
917,1323.85337270058
918,1325.02760929309
919,1326.20165145964
920,1327.37549946876
921,1328.54915358832
922,1329.72261408552
923,1330.8958812269
924,1332.06895527833
925,1333.24183650505
926,1334.4145251716
927,1335.5870215419
928,1336.7593258792
929,1337.93143844611
930,1339.1033595046
931,1340.27508931597
932,1341.4466281409
933,1342.61797623943
934,1343.78913387095
935,1344.96010129421
936,1346.13087876736
937,1347.30146654787
938,1348.47186489262
939,1349.64207405784
940,1350.81209429915
941,1351.98192587155
942,1353.1515690294
943,1354.32102402646
944,1355.49029111587
945,1356.65937055015
946,1357.82826258122
947,1358.99696746038
948,1360.16548543832
949,1361.33381676514
950,1362.50196169032
951,1363.66992046276
952,1364.83769333074
953,1366.00528054196
954,1367.17268234351
955,1368.33989898189
956,1369.50693070301
957,1370.67377775222
958,1371.84044037423
959,1373.00691881321
