n,gram_point
511,826.284701708207
512,827.572281633991
513,828.859451233376
514,830.146211534705
515,831.4325635617
516,832.718508333501
517,834.004046864691
518,835.289180165323
519,836.573909240955
520,837.858235092674
521,839.142158717128
522,840.425681106549
523,841.708803248788
524,842.991526127337
525,844.27385072136
526,845.555778005719
527,846.837308951002
528,848.118444523548
529,849.399185685476
530,850.67953339471
531,851.959488605008
532,853.239052265981
533,854.518225323129
534,855.797008717859
535,857.075403387511
536,858.353410265388
537,859.631030280776
538,860.908264358971
539,862.185113421305
540,863.461578385167
541,864.737660164029
542,866.013359667472
543,867.288677801205
544,868.563615467093
545,869.83817356318
546,871.11235298371
547,872.386154619151
548,873.65957935622
549,874.932628077901
550,876.205301663472
551,877.477600988528
552,878.749526924998
553,880.021080341171
554,881.292262101717
555,882.563073067708
556,883.833514096642
557,885.103586042461
558,886.373289755573
559,887.642626082873
560,888.911595867768
561,890.180199950191
562,891.448439166625
563,892.716314350123
564,893.983826330329
565,895.250975933497
566,896.517763982511
567,897.784191296905
568,899.050258692882
569,900.315966983335
570,901.581316977864
571,902.846309482797
572,904.110945301209
573,905.375225232939
574,906.639150074612
575,907.902720619653
576,909.165937658309
577,910.428801977668
578,911.691314361673
579,912.953475591144
580,914.215286443794
581,915.476747694248
582,916.737860114058
583,917.998624471724
584,919.259041532709
585,920.519112059456
586,921.778836811408
587,923.038216545022
588,924.297252013787
589,925.555943968239
590,926.814293155982
591,928.0723003217
592,929.329966207176
593,930.587291551306
594,931.844277090118
595,933.100923556786
596,934.357231681645
597,935.613202192211
598,936.86883581319
599,938.124133266502
600,939.379095271289
601,940.633722543932
602,941.888015798071
603,943.141975744614
604,944.395603091754
605,945.648898544987
606,946.901862807122
607,948.154496578299
608,949.406800556002
609,950.658775435074
610,951.910421907731
611,953.161740663577
612,954.412732389619
613,955.663397770278
614,956.913737487405
615,958.163752220295
616,959.413442645702
617,960.662809437848
618,961.911853268443
619,963.160574806693
620,964.408974719316
621,965.657053670556
622,966.904812322194
623,968.152251333562
624,969.399371361559
625,970.646173060657
626,971.892657082921
627,973.138824078018
628,974.384674693231
629,975.630209573469
630,976.875429361285
631,978.120334696882
632,979.364926218129
633,980.609204560573
634,981.853170357452
635,983.096824239703
636,984.340166835978
637,985.583198772655
638,986.82592067385
639,988.068333161428
640,989.310436855012
641,990.552232372002
642,991.79372032758
643,993.034901334722
644,994.275776004214
645,995.516344944657
646,996.756608762484
647,997.996568061966
648,999.236223445227
649,1000.47557551225
650,1001.7146248609
651,1002.95337208692
652,1004.19181778395
653,1005.42996254353
654,1006.66780695512
655,1007.90535160611
656,1009.14259708182
657,1010.37954396554
658,1011.61619283848
659,1012.85254427985
660,1014.08859886682
661,1015.32435717457
662,1016.55981977625
663,1017.79498724305
664,1019.02986014415
